abbr,state,votes
AL,Alabama,9
AK,Alaska,3
AZ,Arizona,11
AR,Arkansas,6
CA,California,55
CO,Colorado,9
CT,Connecticut,7
DE,Delaware,3
DC,District of Columbia,3
FL,Florida,29
GA,Georgia,16
HI,Hawaii,4
ID,Idaho,4
IL,Illinois,20
IN,Indiana,11
IA,Iowa,6
KS,Kansas,6
KY,Kentucky,8
LA,Louisiana,8
ME,Maine,4
MD,Maryland,10
MA,Massachusetts,11
MI,Michigan,16
MN,Minnesota,10
MS,Mississippi,6
MO,Missouri,10
MT,Montana,3
NE,Nebraska,5
NV,Nevada,6
NH,New Hampshire,4
NJ,New Jersey,14
NM,New Mexico,5
NY,New York,29
NC,North Carolina,15
ND,North Dakota,3
OH,Ohio,18
OK,Oklahoma,7
OR,Oregon,7
PA,Pennsylvania,20
RI,Rhode Island,4
SC,South Carolina,9
SD,South Dakota,3
TN,Tennessee,11
TX,Texas,38
UT,Utah,6
VT,Vermont,3
VA,Virginia,13
WA,Washington,12
WV,West Virginia,5
WI,Wisconsin,10
WY,Wyoming,3
